row_id,next_5min_arrivals,next_10min_arrivals,next_15min_pressure_score,congestion_risk_binary,congestion_risk_multiclass,best_alternate_gate,expected_wait_reduction_minutes,reroute_confidence
bsu_2025_001_A_-180,31,86,5.71,0,low,C,0.0,0.541
bsu_2025_001_A_-179,35,93,5.71,0,low,C,0.0,0.541
bsu_2025_001_A_-178,39,102,5.89,0,low,C,0.0,0.542
bsu_2025_001_A_-177,44,113,6.16,0,low,C,0.0,0.544
bsu_2025_001_A_-176,49,124,6.16,0,low,C,0.0,0.544
bsu_2025_001_A_-175,55,134,6.16,0,low,C,0.0,0.544
bsu_2025_001_A_-174,58,143,6.42,0,low,C,0.0,0.546
bsu_2025_001_A_-173,63,153,6.42,0,low,C,0.0,0.546
bsu_2025_001_A_-172,69,165,6.68,0,low,C,0.0,0.548
bsu_2025_001_A_-171,75,176,6.68,0,low,C,0.0,0.548
bsu_2025_001_A_-170,79,184,6.68,0,low,C,0.0,0.548
bsu_2025_001_A_-169,85,198,7.19,0,low,C,0.0,0.551
bsu_2025_001_A_-168,90,208,7.19,0,low,C,0.0,0.551
bsu_2025_001_A_-167,96,220,7.19,0,low,C,0.0,0.551
bsu_2025_001_A_-166,101,231,7.19,0,low,C,0.0,0.551
bsu_2025_001_A_-165,105,242,7.47,0,low,C,0.0,0.553
bsu_2025_001_A_-164,113,259,7.47,0,low,C,0.0,0.553
bsu_2025_001_A_-163,118,266,7.47,0,low,C,0.0,0.553
bsu_2025_001_A_-162,124,277,7.47,0,low,C,0.0,0.553
bsu_2025_001_A_-161,130,287,7.49,0,low,C,0.0,0.553
bsu_2025_001_A_-160,137,304,7.49,0,low,C,0.0,0.553
bsu_2025_001_A_-159,146,313,7.75,0,low,C,0.0,0.555
bsu_2025_001_A_-158,148,322,7.75,0,low,C,0.0,0.555
bsu_2025_001_A_-157,153,331,8.01,0,low,C,0.0,0.557
bsu_2025_001_A_-156,157,340,8.01,0,low,C,0.0,0.557
bsu_2025_001_A_-155,167,350,8.01,0,low,C,0.0,0.557
bsu_2025_001_A_-154,167,356,8.01,0,low,C,0.0,0.557
bsu_2025_001_A_-153,174,370,8.01,0,low,C,0.0,0.557
bsu_2025_001_A_-152,178,380,8.29,0,low,C,0.0,0.559
bsu_2025_001_A_-151,183,384,8.29,0,low,C,0.0,0.559
bsu_2025_001_A_-150,183,388,8.29,0,low,C,0.0,0.559
bsu_2025_001_A_-149,189,395,8.29,0,low,C,0.0,0.559
bsu_2025_001_A_-148,196,404,8.42,0,low,C,0.0,0.56
bsu_2025_001_A_-147,202,412,8.42,0,low,C,0.0,0.56
bsu_2025_001_A_-146,201,418,8.42,0,low,C,0.0,0.56
bsu_2025_001_A_-145,205,420,8.42,0,low,C,0.0,0.56
bsu_2025_001_A_-144,206,422,8.42,0,low,C,0.0,0.56
bsu_2025_001_A_-143,208,428,8.42,0,low,C,0.0,0.56
bsu_2025_001_A_-142,210,421,8.42,0,low,C,0.0,0.56
bsu_2025_001_A_-141,217,429,8.42,0,low,C,0.0,0.56
bsu_2025_001_A_-140,215,431,8.42,0,low,C,0.0,0.56
bsu_2025_001_A_-139,216,435,8.42,0,low,C,0.0,0.56
bsu_2025_001_A_-138,220,436,8.52,0,low,C,0.0,0.561
bsu_2025_001_A_-137,211,432,8.52,0,low,C,0.0,0.561
bsu_2025_001_A_-136,212,431,8.52,0,low,C,0.0,0.561
bsu_2025_001_A_-135,216,435,8.52,0,low,C,0.0,0.561
bsu_2025_001_A_-134,219,432,8.53,0,low,C,0.0,0.561
bsu_2025_001_A_-133,216,432,8.62,0,low,C,0.0,0.562
bsu_2025_001_A_-132,221,439,8.81,0,low,C,0.0,0.563
bsu_2025_001_A_-131,219,438,8.81,0,low,C,0.0,0.563
bsu_2025_001_A_-130,219,440,8.97,0,low,C,0.0,0.564
bsu_2025_001_A_-129,213,441,8.97,0,low,C,0.0,0.564
bsu_2025_001_A_-128,216,445,8.97,0,low,C,0.0,0.564
bsu_2025_001_A_-127,218,453,8.97,0,low,C,0.0,0.564
bsu_2025_001_A_-126,219,455,9.22,0,low,C,0.0,0.566
bsu_2025_001_A_-125,221,463,9.23,0,low,C,0.0,0.566
bsu_2025_001_A_-124,228,470,9.23,0,low,C,0.0,0.566
bsu_2025_001_A_-123,229,471,9.23,0,low,C,0.0,0.566
bsu_2025_001_A_-122,235,474,9.23,0,low,C,0.0,0.566
bsu_2025_001_A_-121,236,485,9.23,0,low,C,0.0,0.566
bsu_2025_001_A_-120,242,494,9.23,0,low,C,0.0,0.566
bsu_2025_001_A_-119,242,497,9.31,0,low,C,0.0,0.567
bsu_2025_001_A_-118,242,503,9.58,0,low,C,0.0,0.568
bsu_2025_001_A_-117,239,506,9.58,0,low,C,0.0,0.568
bsu_2025_001_A_-116,249,514,9.58,0,low,C,0.0,0.568
bsu_2025_001_A_-115,252,515,9.72,0,low,C,0.0,0.569
bsu_2025_001_A_-114,255,524,9.89,0,low,C,0.0,0.571
bsu_2025_001_A_-113,261,535,9.89,0,low,C,0.0,0.571
bsu_2025_001_A_-112,267,547,10.07,0,low,C,0.0,0.572
bsu_2025_001_A_-111,265,549,10.07,0,low,C,0.0,0.572
bsu_2025_001_A_-110,263,555,10.24,0,low,C,0.0,0.573
bsu_2025_001_A_-109,269,568,10.24,0,low,C,0.0,0.573
bsu_2025_001_A_-108,274,573,10.24,0,low,C,0.0,0.573
bsu_2025_001_A_-107,280,585,10.24,0,low,C,0.0,0.573
bsu_2025_001_A_-106,284,591,10.33,0,low,C,0.0,0.574
bsu_2025_001_A_-105,292,605,10.65,0,low,C,0.0,0.576
bsu_2025_001_A_-104,299,615,10.65,0,low,C,0.0,0.576
bsu_2025_001_A_-103,299,619,10.65,0,low,C,0.0,0.576
bsu_2025_001_A_-102,305,624,10.65,0,low,C,0.0,0.576
bsu_2025_001_A_-101,307,635,10.65,0,low,C,0.0,0.576
bsu_2025_001_A_-100,313,646,10.65,0,low,C,0.0,0.576
bsu_2025_001_A_-099,316,642,10.65,0,low,C,0.0,0.576
