paper_id,paper_name,year,category,what_it_does,what_we_use_it_for,strengths,weaknesses,expected_inputs,expected_outputs,beaver_stadium_role
crowdvlm_r1_2025,CrowdVLM-R1,2025,foundation crowd reasoning model,Provides high-level scene understanding and contextual crowd interpretation from lower-level vision signals.,Turn Beaver Stadium gate signals into human-readable operator explanations and dashboard summaries.,Strong context fusion and scene-level explanation.,Depends on reliable upstream perception signals and is not the first-line low-latency edge model.,image features; density estimates; detection counts; movement signals,scene interpretation; crowd-state labels; textual summaries,"Explain late student surge at Gate A, ticket friction at Gate E, and balancing load at C/D/F."
hmstunet_2026,HMSTUNet,2026,density heatmap generation / crowd counting,Produces density maps that remain useful when dense crowds make boxes unreliable.,Estimate queue density around packed Beaver Stadium gates and concourse hotspots.,Performs well in dense scenes and supports hotspot reasoning.,Needs calibration and more compute than lightweight edge models.,camera frame; optionally enhanced frame,density heatmap; total estimated people count; hotspot intensity,Primary density layer for Gate A surges and packed pre-kickoff scenes.
pet_iccv_2023,PET,2023,point-level localization,"Localizes people through points rather than full boxes, especially in dense scenes.",Measure dense queue concentration near gates when person boxes overlap heavily.,More robust than boxes in highly occluded packed lines.,Requires point-supervised workflows and may be less intuitive than boxes for some operators.,camera frame,point locations; point counts; local cluster intensity,Dense-scene localization support for Gate A and heavy premium-game entry windows.
ffnet_2024,FFNet,2024,real-time deployment model,Provides low-latency practical inference suitable for edge deployment.,Drive MVP-friendly live updates at Beaver Stadium gates and app dashboards.,Fast and deployment-oriented.,Less expressive than larger specialist models.,camera frame; gate metadata,fast crowd-state estimates and lightweight count signals,Low-latency inference backbone for real-time gate monitoring.
proactive_crowd_flow_2025,Proactive Crowd Flow,2025,crowd-flow forecasting / intervention planning,Forecasts congestion and identifies where proactive intervention is needed.,Predict emerging gate overloads and support preemptive Beaver Stadium reroutes.,Supports proactive staffing and routing before queues become critical.,Forecast quality depends on historical realism and live signal quality.,historical arrivals; live counts; event context,short-horizon congestion forecasts; overload warnings; action suggestions,Forecast late surges at Gate A and friction risk at Gate E before they peak.
yolov8_2023,YOLOv8,2023,live bounding box detection,Performs real-time person detection using bounding boxes.,First-pass queue size estimates and lower-density gate visibility.,Fast and mature for operational deployment.,Undercounts more often in dense and occluded scenes.,camera frame,bounding boxes; person count; confidence scores,"Primary moderate-density detector at C, D, and F, with degraded trust in packed scenes."
real_esrgan_2021,Real-ESRGAN,2021,super-resolution / pixelation correction,Enhances blurry or low-resolution imagery before downstream vision tasks.,Improve poor Beaver Stadium gate-camera footage during low light or compression.,Can recover detail that helps downstream methods.,Adds latency and may introduce artifacts.,low-quality frame,enhanced frame; image-quality improvement indicator,"Selective enhancement for night games, rain, and zoomed camera views."
b2bdet_2024,B2BDet,2024,super-resolution plus detection validation,Measures whether enhancement actually improves downstream detection.,Validate when enhancement helps Gate E or night-game detection rather than assuming it always helps.,Prevents false trust in visually nicer but operationally worse frames.,Adds evaluation complexity and is not itself the main detector.,raw and enhanced frames; detection outputs,validation metrics; enhanced-vs-original comparison features,Quality-control layer for super-resolution-assisted gate monitoring.
farneback_2003,Farneback Optical Flow,2003,motion estimation / movement direction,Estimates motion fields between consecutive frames and dominant direction.,"Detect surges, stalls, and mixed flows at Beaver Stadium entry lines.","Simple, interpretable, and useful without deep labels.","Sensitive to camera shake, rain, and visual noise.",consecutive frames,motion magnitude; dominant flow direction; flow stability,Highlight inbound surge windows and detect when queues begin to stall.
fruin_los_1971,Fruin Level of Service,1971,crowd pressure / pedestrian safety scoring,Converts density and movement conditions into interpretable service and safety levels.,Translate gate queue state into low/medium/high/critical crowd pressure at Beaver Stadium.,Interpretable and operationally intuitive.,Requires calibrated assumptions and simplifies complex human behavior.,density; queue; movement state,pressure_score; density_level; safety class,Primary operator-facing safety layer for entry risk and intervention thresholds.
gabppo_2024,GABPPO,2024,gate routing optimization / reinforcement learning,Learns routing and resource-allocation actions under changing crowd conditions.,Recommend alternate Beaver Stadium gates or operational interventions.,Optimizes wait reduction and balancing under uneven demand.,Depends on realistic state features and trustworthy constraints.,gate state features; forecasts; safety scores,recommended action; alternate gate; expected wait reduction,"Decision layer for rerouting away from overloaded A or friction-heavy E toward C, D, or F."
